fueltype,cartype,enginesize,price,status,brand
petrol,coupe,2.2217744757498656,81480,new,Honda
diesel,sedan,2.4914352244250404,27731,new,Ford
electric,hatchback,4.373506073037396,23832,used,Toyota
hybrid,hatchback,3.437624402612464,88707,used,Hyundai
electric,coupe,3.1398249088852936,60611,used,Toyota
petrol,sedan,4.500371392477992,78469,used,Honda
hybrid,sedan,3.8351990799562503,93509,used,Bmw
electric,hatchback,4.723948816915728,55164,new,Bmw
hybrid,coupe,3.543494694500273,79163,used,Honda
petrol,hatchback,4.402688144086822,71621,used,Audi
hybrid,suv,3.3815117903385947,75902,new,Toyota
petrol,hatchback,3.897629823110852,88850,used,Bmw
electric,coupe,3.976822158540133,54940,new,Toyota
diesel,coupe,4.111280086859932,67970,used,Toyota
hybrid,coupe,4.672165120223828,77070,new,Hyundai
diesel,hatchback,4.200025158917757,29719,new,Bmw
electric,hatchback,2.8623064024458205,37216,new,Ford
electric,pickup,3.854740347250056,24390,new,Hyundai
diesel,suv,2.603156368325458,35792,new,Bmw
electric,pickup,4.029872984002831,61080,used,Ford
electric,coupe,4.247405169290946,113450,new,Toyota
electric,hatchback,4.331717038578425,111902,new,Toyota
electric,suv,3.747901446,95099,used,Audi
hybrid,pickup,4.044199617295512,73566,used,Hyundai
electric,coupe,3.1692978728055863,36265,new,Toyota
electric,pickup,3.9065731616678208,52613,new,Bmw
electric,coupe,3.1860020910223223,95459,used,Bmw
petrol,pickup,3.047068458144925,110414,new,Audi
electric,hatchback,3.3893897626993046,116062,used,Ford
diesel,coupe,3.618555319,55806,new,Hyundai
petrol,sedan,4.004716355490812,66096,used,Ford
hybrid,suv,2.7687305836026064,68460,used,Hyundai
hybrid,sedan,3.5900672968509237,20906,new,Audi
diesel,hatchback,2.474778738274197,27232,used,Bmw
hybrid,hatchback,2.279196345087406,19748,new,Audi
electric,hatchback,3.562526888782569,92427,new,Hyundai
hybrid,pickup,3.728805504352028,38556,new,Bmw
electric,hatchback,2.7822003901360373,88531,used,Honda
hybrid,suv,3.843232636513588,54403,used,Toyota
hybrid,hatchback,2.165752451042444,98395,new,Bmw
diesel,coupe,4.321174937641274,27130,used,Toyota
electric,pickup,3.718858709,49145,used,Toyota
petrol,hatchback,3.3953780303354324,36505,new,Honda
electric,suv,4.715253315705856,60785,used,Hyundai
hybrid,coupe,3.816611445728501,74008,used,Ford
diesel,coupe,2.7806509953506557,32675,new,Bmw
petrol,suv,2.169969851393501,85034,new,Audi
electric,hatchback,3.021000596608743,116273,used,Hyundai
hybrid,coupe,2.335780783919829,19545,used,Honda
petrol,suv,4.173559231450993,24038,new,Hyundai
diesel,sedan,3.204649665183341,114982,new,Bmw
petrol,hatchback,3.633671706220706,83146,used,Hyundai
electric,coupe,2.4964820385430144,111562,used,Toyota
hybrid,coupe,2.393400124924759,89052,new,Ford
electric,suv,3.1153790050470818,90318,new,Hyundai
electric,suv,3.649941243437076,31562,new,Honda
hybrid,hatchback,3.945123759409575,68742,new,Toyota
electric,coupe,2.8010894288245014,53358,new,Honda
electric,pickup,4.990951484293859,102530,used,Toyota
diesel,pickup,2.188534932153533,19528,new,Audi
diesel,pickup,4.671605407890745,16907,new,Audi
petrol,suv,2.4582706198247624,73443,used,Toyota
electric,sedan,3.1527850416693988,116896,new,Bmw
hybrid,hatchback,2.305731579607448,119468,used,Audi
hybrid,sedan,3.4232582143946884,77322,new,Hyundai
diesel,hatchback,4.198741216612746,60137,new,Hyundai
hybrid,pickup,4.606640120513192,43656,used,Honda
electric,hatchback,3.025723134143296,118950,new,Audi
diesel,coupe,4.413826196613353,34239,used,Ford
hybrid,hatchback,4.8641973498113416,28253,used,Hyundai
petrol,coupe,4.805621985369629,68375,used,Audi
diesel,pickup,4.398588890624536,56207,used,Ford
electric,sedan,4.416627279198586,67059,used,Toyota
electric,suv,3.927749437967869,109706,used,Hyundai
electric,coupe,4.0648043206573625,43330,used,Audi
hybrid,hatchback,3.5335380940673624,107053,used,Ford
hybrid,suv,3.600003240909205,37234,new,Ford
petrol,sedan,4.745204714339355,48977,new,Toyota
hybrid,coupe,3.817490215067137,15467,used,Toyota
petrol,pickup,3.779068207828317,86254,used,Hyundai
petrol,pickup,2.672405229204477,105138,new,Bmw
petrol,suv,3.641716958781069,108046,new,Honda
electric,pickup,3.635433084499765,32583,new,Hyundai
electric,sedan,4.238028883606239,95522,used,Bmw
hybrid,sedan,3.339003049407386,29840,used,Honda
diesel,suv,4.724226310217327,80990,new,Toyota
electric,hatchback,2.1334208897651297,88751,new,Hyundai
hybrid,hatchback,2.761897993033023,31020,new,Honda
electric,sedan,2.8073187106410527,26603,new,Hyundai
electric,coupe,2.454231786855951,22665,new,Ford
diesel,sedan,4.512211867415811,89377,used,Hyundai
electric,hatchback,4.670473188364713,79535,used,Honda
petrol,coupe,3.062329696282795,27531,new,Audi
electric,suv,3.9708565445896737,67528,used,Hyundai
hybrid,suv,2.663277349228437,98559,new,Honda
electric,hatchback,3.825573384041716,39993,new,Audi
electric,suv,2.1768768395024383,78591,used,Hyundai
electric,pickup,2.8830376638345268,45740,new,Ford
electric,suv,3.414920992780226,42406,used,Ford
petrol,pickup,3.896860528031689,56169,new,Audi
hybrid,sedan,3.267490721,51982,new,Hyundai
hybrid,pickup,3.497625465998297,67029,new,Honda
hybrid,suv,3.5114366043187144,36567,new,Toyota
petrol,suv,2.5637352518358805,55977,new,Hyundai
diesel,hatchback,2.754579581099928,80350,used,Toyota
electric,sedan,4.562513058627449,55665,used,Hyundai
diesel,hatchback,2.547486121034136,83922,used,Honda
diesel,hatchback,4.746748678371924,27151,new,Hyundai
diesel,coupe,2.759079775703277,29454,used,Hyundai
electric,hatchback,3.236657756586117,105886,new,Honda
hybrid,pickup,3.4765975076602613,63491,new,Bmw
hybrid,coupe,2.192571040447856,78961,new,Hyundai
petrol,pickup,2.5589534399151037,92678,new,Toyota
hybrid,pickup,4.083013853109717,30340,used,Audi
petrol,pickup,4.31907811,117087,used,Audi
hybrid,suv,4.162270029138035,59506,used,Toyota
diesel,pickup,3.041402109444722,108419,used,Toyota
hybrid,hatchback,4.9928485177373565,58755,new,Toyota
hybrid,coupe,4.685493110702941,57585,used,Toyota
electric,coupe,2.9330969791751467,78065,used,Toyota
electric,hatchback,3.235078882567552,35044,used,Toyota
petrol,sedan,3.383420144862183,78931,new,Audi
diesel,pickup,2.6566114375651444,118247,new,Bmw
diesel,coupe,3.201595339932336,82748,new,Hyundai
hybrid,suv,3.903706636319171,22356,used,Ford
diesel,pickup,3.331972365434724,88279,used,Bmw
diesel,suv,4.030569684062927,18507,new,Audi
hybrid,suv,3.932216804701493,25852,new,Hyundai
electric,sedan,2.808120356411369,44880,new,Ford
diesel,suv,4.122522182,47016,used,Toyota
hybrid,hatchback,2.409859115296294,15372,new,Audi
petrol,sedan,2.119955082756624,16821,used,Honda
electric,sedan,3.3522898892184885,97869,new,Ford
hybrid,pickup,2.558161210606745,62737,new,Toyota
electric,coupe,3.3673429541635977,35980,used,Toyota
hybrid,suv,3.184946041904639,60090,new,Hyundai
diesel,sedan,2.3792578437941048,87758,new,Hyundai
diesel,pickup,4.557611761517993,92104,new,Honda
hybrid,sedan,2.715543825,45254,new,Audi
petrol,sedan,3.9913425259524473,32547,used,Toyota
hybrid,hatchback,3.668632465090004,115731,new,Bmw
hybrid,hatchback,2.2170834477248573,81306,used,Toyota
electric,pickup,4.934082576423196,118210,used,Bmw
petrol,hatchback,2.126311801519793,47202,new,Ford
petrol,sedan,2.478072472932009,26682,new,Honda
diesel,sedan,3.710462443659693,55101,new,Ford
hybrid,suv,3.664335589542745,49424,new,Bmw
electric,sedan,4.562974747474343,90525,used,Bmw
electric,suv,4.721248452140734,90193,used,Hyundai
electric,suv,3.490984875681989,22512,used,Ford
electric,suv,3.2037674235627938,76713,new,Ford
hybrid,pickup,2.9507819458995783,50992,new,Honda
diesel,pickup,3.521771529203867,79563,used,Honda
petrol,coupe,3.6426666862398993,56088,new,Audi
hybrid,hatchback,2.926147157552391,71429,new,Audi
diesel,pickup,2.675125921495538,90153,new,Ford
electric,coupe,3.105476517,45805,used,Hyundai
electric,hatchback,3.153954784534232,35918,new,Audi
electric,hatchback,2.379847700611381,89129,used,Ford
petrol,suv,3.361089326820927,114478,used,Bmw
hybrid,sedan,4.148502195810348,61620,new,Ford
electric,hatchback,2.296849519982385,119765,used,Toyota
electric,pickup,3.064706085103282,34413,new,Ford
hybrid,sedan,3.7888011858444983,100985,new,Audi
petrol,pickup,3.631103008796838,118761,used,Ford
hybrid,coupe,3.996555143712587,46469,used,Toyota
hybrid,pickup,2.5933007279604445,30524,new,Audi
hybrid,pickup,3.0988127589233363,84705,used,Honda
hybrid,pickup,3.3065276255923077,106286,used,Bmw
hybrid,hatchback,3.278133422358304,23730,used,Audi
hybrid,suv,4.386901501185764,82275,new,Toyota
diesel,hatchback,4.756753683905858,106484,new,Audi
petrol,suv,3.401989815049229,18361,used,Audi
petrol,pickup,4.176843932,69179,new,Hyundai
petrol,pickup,4.847664706403368,23083,new,Hyundai
hybrid,hatchback,2.3478796826338506,33526,new,Bmw
hybrid,coupe,4.567217540349938,66066,used,Ford
electric,pickup,3.4184690139038194,49378,new,Audi
diesel,sedan,2.8220618169770058,23939,used,Toyota
petrol,hatchback,3.697962204880006,99077,used,Honda
petrol,coupe,4.023780250224485,36311,new,Toyota
electric,coupe,3.832600497613104,106373,used,Audi
diesel,hatchback,2.3766880949202056,33557,new,Hyundai
electric,pickup,2.9093978440370605,69569,used,Honda
hybrid,coupe,4.155004846811108,91338,used,Audi
diesel,hatchback,4.691060271469026,65432,used,Toyota
electric,suv,3.536904964392128,58795,new,Hyundai
diesel,hatchback,4.194531900161717,93827,used,Ford
electric,suv,2.680751092607192,16236,new,Hyundai
hybrid,sedan,3.295243013073245,101749,new,Toyota
hybrid,pickup,4.667385092,87439,used,Toyota
electric,sedan,4.31466055,95308,used,Bmw
electric,hatchback,3.178168913292214,59201,new,Hyundai
hybrid,suv,2.722086829552589,55364,new,Toyota
electric,hatchback,2.452316805182097,75051,used,Bmw
diesel,hatchback,4.818821856596948,82402,used,Honda
diesel,suv,3.585425366831878,112145,new,Toyota
petrol,suv,4.111136522554103,105022,new,Audi
diesel,suv,2.550276451961513,20658,used,Hyundai
petrol,suv,2.7818940525949425,30934,used,Audi
diesel,pickup,4.849563566887766,114394,used,Honda
hybrid,hatchback,2.186809064471737,55754,used,Hyundai
electric,hatchback,2.446113016800693,75929,new,Toyota
hybrid,hatchback,2.581372657747752,20944,used,Ford
petrol,pickup,4.200629569611232,25986,used,Ford
petrol,sedan,2.438460162202934,57932,new,Toyota
petrol,hatchback,3.672559981420389,90319,used,Honda
diesel,coupe,4.684729072127103,96089,new,Ford
diesel,suv,2.306101694899081,108941,new,Bmw
diesel,pickup,4.162077757221585,35687,new,Toyota
diesel,coupe,2.5995086865218133,36192,used,Hyundai
hybrid,pickup,2.9729123578496863,71898,new,Honda
diesel,suv,4.694425123816549,72426,new,Toyota
petrol,sedan,2.372078484064302,18841,used,Bmw
diesel,pickup,3.3310205930927888,61953,used,Audi
hybrid,hatchback,2.818884178198265,109253,new,Honda
diesel,pickup,3.1776784130175724,32209,new,Toyota
hybrid,hatchback,3.013531347407489,101100,used,Ford
diesel,coupe,2.848871367013492,61960,used,Bmw
petrol,pickup,3.588535480147265,70062,used,Honda
petrol,hatchback,2.1301499508743085,82368,new,Ford
diesel,sedan,2.815169170393304,89107,used,Bmw
petrol,coupe,2.633256273752488,81936,used,Audi
hybrid,pickup,4.355064488851462,25911,new,Ford
diesel,suv,3.997991240443993,46010,used,Toyota
petrol,coupe,3.594445874615773,103746,new,Audi
petrol,suv,4.411625393815108,19215,new,Ford
petrol,coupe,4.024136259884484,90102,used,Bmw
diesel,coupe,3.883670813860128,69650,new,Audi
diesel,pickup,3.5018235027007303,27596,new,Bmw
hybrid,hatchback,2.643684807,27890,used,Hyundai
diesel,suv,4.914750409627695,117972,new,Bmw
hybrid,hatchback,4.453294211558095,18259,used,Ford
petrol,sedan,2.6538857091431107,17365,new,Ford
electric,coupe,2.9205715473313822,16754,new,Honda
diesel,pickup,4.3690060018318135,80993,used,Audi
diesel,pickup,3.778211880238056,112271,new,Ford
petrol,coupe,4.061686374502576,33034,used,Honda
petrol,sedan,3.4079683736415065,98553,used,Hyundai
diesel,suv,4.746766126285924,90522,new,Hyundai
electric,hatchback,4.1385069734350335,39126,used,Honda
electric,coupe,4.598808790370967,22392,used,Ford
petrol,suv,2.7845739702989025,66230,used,Ford
hybrid,pickup,4.884582697544989,23515,used,Audi
diesel,sedan,4.342252340917447,26924,new,Bmw
petrol,coupe,3.556745425288024,63960,new,Audi
hybrid,hatchback,2.1618236982681664,100644,new,Bmw
electric,sedan,2.954200374407078,119370,new,Audi
diesel,hatchback,4.954168385045811,80923,used,Toyota
petrol,coupe,4.357557338986663,44034,used,Audi
diesel,hatchback,4.267943668569949,49471,new,Honda
diesel,sedan,4.641030414261017,79315,used,Toyota
hybrid,suv,4.331367548596114,33187,new,Bmw
electric,suv,4.779439548436974,69452,new,Audi
diesel,suv,2.4428419505251044,95736,new,Honda
hybrid,sedan,2.6893924892697894,103422,new,Bmw
diesel,suv,3.8703137554012335,21208,new,Ford
hybrid,sedan,3.911277096287142,45301,used,Toyota
petrol,pickup,3.926919060290949,41754,new,Hyundai
diesel,suv,2.875801108134276,73269,used,Honda
petrol,coupe,4.015243345577089,34457,used,Honda
petrol,pickup,2.731040848855072,114815,used,Honda
hybrid,suv,3.572651861371314,111294,used,Bmw
petrol,sedan,4.773212918660932,49921,new,Bmw
electric,suv,3.6750990139392488,57745,used,Audi
diesel,suv,3.668232506246421,61137,new,Audi
petrol,suv,3.742417738181429,19476,new,Honda
hybrid,hatchback,4.871780709866568,108325,used,Ford
hybrid,suv,4.130460452391628,96833,new,Ford
electric,coupe,3.8128462556677385,49912,used,Honda
petrol,pickup,3.072327155807827,72481,used,Honda
hybrid,sedan,2.801233816274465,54970,new,Honda
diesel,coupe,3.097755413201292,38959,used,Toyota
petrol,pickup,3.011672548700632,46932,used,Toyota
electric,hatchback,3.628734155191343,26244,used,Honda
petrol,suv,4.809434908087374,100000,used,Ford
petrol,sedan,4.607356401520375,83752,new,Bmw
diesel,coupe,4.860460396308426,112690,used,Honda
petrol,suv,4.765910378826456,15689,used,Hyundai
electric,pickup,4.696981533,81265,new,Hyundai
petrol,sedan,4.903317733665596,73841,used,Honda
hybrid,coupe,2.582650416107202,80481,new,Toyota
electric,coupe,4.183424589008861,118919,used,Ford
hybrid,pickup,2.134983815961966,55950,new,Bmw
diesel,hatchback,2.579179767126171,29808,new,Ford
hybrid,hatchback,3.330269429622476,16310,new,Toyota
hybrid,pickup,3.068560098063435,66661,used,Honda
petrol,sedan,2.6302863367214013,33263,used,Hyundai
petrol,suv,3.807297188,29816,new,Audi
hybrid,hatchback,3.0684568676962387,30481,new,Honda
electric,pickup,3.541052885298156,44082,new,Audi
petrol,hatchback,3.893198075665219,27167,new,Ford
petrol,hatchback,4.0675184186073325,66020,new,Hyundai
hybrid,hatchback,2.456074768041671,83674,used,Hyundai
electric,hatchback,2.547637637449913,45378,new,Audi
petrol,suv,4.582757550697696,29316,used,Ford
hybrid,hatchback,3.771913254492119,75104,new,Honda
petrol,sedan,3.2015811733044592,23991,used,Ford
petrol,pickup,4.963961427128185,92446,used,Bmw
electric,coupe,2.4635820476313315,55171,new,Audi
electric,sedan,2.847410065681463,58045,used,Toyota
electric,suv,4.115080936292932,41147,new,Bmw
hybrid,suv,3.337167718395583,44697,new,Hyundai
diesel,hatchback,2.574176616641743,30315,new,Bmw
petrol,suv,4.407192981373122,73590,new,Hyundai
diesel,suv,4.880764731302123,30343,new,Hyundai
diesel,sedan,2.5207230616490666,86457,used,Bmw
electric,sedan,2.2390716510197937,41901,new,Audi
electric,coupe,3.315330494558475,74370,new,Hyundai
electric,sedan,3.3099415838162582,71369,used,Hyundai
petrol,hatchback,2.905610960503353,81509,new,Audi
hybrid,sedan,2.551990796,94600,used,Audi
petrol,suv,2.629679015115166,73862,used,Audi
petrol,pickup,4.066904178900632,104541,used,Toyota
electric,pickup,4.690637994424982,42195,used,Audi
petrol,suv,2.180024861041649,93898,used,Honda
diesel,coupe,3.4054599540414685,51011,new,Honda
diesel,hatchback,4.888098444196862,80962,used,Honda
hybrid,suv,3.1520189932774545,66659,used,Hyundai
diesel,suv,3.321688996303154,110300,new,Toyota
hybrid,hatchback,3.860082367224804,43477,new,Toyota
electric,hatchback,2.341936168853524,69572,used,Audi
diesel,coupe,4.710246755297593,32270,new,Honda
petrol,suv,3.3649839961560883,81502,new,Audi
electric,pickup,4.649707753944558,18874,used,Ford
diesel,hatchback,4.698109808384329,58220,new,Honda
electric,hatchback,4.0466379206146685,16039,used,Bmw
petrol,suv,2.244501615428166,49375,used,Ford
hybrid,pickup,3.926139935512584,65825,new,Hyundai
petrol,coupe,2.760850208753977,49829,used,Toyota
petrol,coupe,4.242025381790594,55521,new,Audi
hybrid,coupe,3.538287346498304,30573,new,Hyundai
electric,suv,3.254110334060048,90035,used,Hyundai
petrol,hatchback,2.912337782199972,98642,used,Ford
diesel,hatchback,4.170006922923328,62747,new,Toyota
hybrid,coupe,2.713167611,20813,new,Hyundai
diesel,pickup,3.971502546067388,21552,used,Ford
electric,suv,4.542098033,85841,new,Honda
hybrid,suv,2.6648009149431657,112536,new,Honda
electric,hatchback,3.810583989113344,105768,used,Ford
electric,hatchback,3.398113365240188,57576,new,Audi
hybrid,sedan,2.634102370929875,67229,used,Ford
diesel,pickup,3.0675543950282504,32124,used,Bmw
diesel,sedan,4.577597016486601,22371,new,Honda
electric,suv,3.2663940280569164,95407,new,Hyundai
diesel,hatchback,2.6127124853604884,59983,new,Audi
hybrid,hatchback,2.2707293622072933,67171,new,Audi
electric,pickup,3.697419601065728,51038,new,Bmw
petrol,pickup,2.246886730254044,47881,new,Ford
electric,pickup,2.134762508982905,118481,used,Bmw
electric,pickup,3.372376332812992,100702,new,Toyota
diesel,sedan,2.8199155433742367,87582,new,Audi
diesel,coupe,3.7470903625885152,55861,used,Hyundai
diesel,coupe,4.585227828387186,90742,new,Honda
hybrid,sedan,4.913039889586717,50618,new,Toyota
electric,sedan,2.449967546382658,69161,used,Toyota
electric,hatchback,3.772081920801914,30227,new,Bmw
diesel,sedan,4.780114308308917,89488,new,Audi
petrol,pickup,2.603235006745056,21351,new,Honda
hybrid,pickup,2.3817270939261523,90869,new,Ford
electric,hatchback,4.328514614212242,78386,new,Bmw
hybrid,sedan,4.332862536115772,21967,new,Hyundai
petrol,sedan,2.284215702922114,68140,new,Ford
hybrid,suv,4.832904301731004,38373,new,Hyundai
diesel,coupe,3.7497674019707743,64993,used,Bmw
electric,suv,2.7604399393831263,16361,used,Toyota
petrol,hatchback,2.5938846805415685,90790,used,Honda
petrol,sedan,3.706990516238253,68529,used,Toyota
diesel,coupe,3.996843539513624,53039,used,Bmw
diesel,coupe,4.313354194962384,106958,new,Bmw
diesel,pickup,2.5600176016261065,82717,used,Toyota
petrol,hatchback,2.602502554735144,79003,used,Toyota
diesel,coupe,4.520944726074543,30447,new,Toyota
diesel,sedan,2.260626909096185,67521,new,Honda
electric,hatchback,4.784874854323772,88564,used,Ford
electric,suv,4.709522750397843,112226,used,Honda
petrol,suv,2.664458622,78446,new,Bmw
electric,hatchback,4.314704162919183,33082,new,Ford
diesel,hatchback,3.234764896181242,86186,used,Ford
electric,hatchback,3.022232915433925,22833,new,Audi
diesel,sedan,4.578970111,47858,used,Toyota
diesel,hatchback,2.503672497057148,111317,new,Bmw
diesel,suv,3.8007268646016974,99187,new,Audi
petrol,pickup,3.772948470115701,109792,new,Honda
petrol,coupe,4.523426371884854,52005,new,Audi
hybrid,pickup,4.036353420655638,86712,used,Toyota
electric,suv,3.825212508,88502,used,Honda
diesel,coupe,4.013775465704884,40827,used,Hyundai
hybrid,suv,4.577013627265689,113973,new,Hyundai
diesel,suv,3.694693304304201,116825,used,Hyundai
hybrid,pickup,3.038450710717305,26586,new,Audi
hybrid,hatchback,4.014677828656278,95361,used,Ford
electric,sedan,2.4004794735107247,62007,used,Bmw
hybrid,pickup,4.500997573429358,85758,new,Bmw
hybrid,hatchback,4.949563828886284,73212,new,Honda
diesel,pickup,2.4442726298958752,38405,used,Honda
hybrid,coupe,2.565329223700747,25076,new,Hyundai
hybrid,suv,4.938927124644114,68874,used,Toyota
petrol,pickup,3.5988484250606483,102907,used,Ford
hybrid,coupe,2.124773821278121,101370,used,Bmw
diesel,sedan,2.671690399575386,43851,used,Toyota
hybrid,coupe,4.786074053797007,105327,used,Bmw
hybrid,suv,3.553438437425254,52373,used,Bmw
electric,pickup,4.412912190510649,73950,new,Honda
hybrid,suv,3.350049702767801,49059,new,Toyota
petrol,suv,4.319657554499803,69893,used,Hyundai
electric,pickup,3.262011233876572,70586,used,Audi
diesel,sedan,4.203296360797183,88256,used,Honda
electric,suv,2.5888905226261216,64545,used,Bmw
hybrid,hatchback,2.703842654026146,70466,new,Ford
petrol,pickup,3.4372922771321166,83391,used,Hyundai
electric,sedan,4.792679887188861,58856,new,Toyota
hybrid,coupe,3.858296264315842,70061,new,Hyundai
petrol,coupe,4.724033409600936,23968,used,Bmw
diesel,hatchback,3.994580015,106331,new,Toyota
diesel,hatchback,3.3598518268590776,28235,used,Toyota
diesel,sedan,4.009758425579081,106660,new,Audi
electric,sedan,3.652942741947428,94828,used,Ford
diesel,suv,2.226314475146003,114504,new,Toyota
diesel,hatchback,3.268076229782843,17589,new,Toyota
hybrid,pickup,4.217574895808865,37802,used,Bmw
diesel,coupe,3.7447904423332976,20492,new,Hyundai
electric,suv,2.991650213954228,58846,new,Audi
petrol,sedan,3.757403383,109987,used,Hyundai
petrol,sedan,4.004167147958878,95458,used,Bmw
diesel,hatchback,4.100244888262743,88919,used,Ford
diesel,sedan,4.573304646939291,104082,new,Ford
hybrid,pickup,3.723078590426227,15442,new,Audi
diesel,suv,2.699138175199214,97704,new,Audi
electric,hatchback,4.248078682,47764,used,Toyota
electric,sedan,3.233481990533457,87547,new,Hyundai
petrol,hatchback,3.231427381759511,95148,new,Honda
electric,sedan,2.361393031379271,87003,new,Honda
petrol,pickup,4.151667499840157,58848,new,Bmw
hybrid,pickup,2.926110116229843,79217,used,Audi
diesel,sedan,2.3907865526773664,64223,new,Audi
electric,hatchback,2.9934149143467086,80973,new,Bmw
electric,pickup,3.327748752670611,63173,new,Ford
diesel,sedan,4.098843452171628,56375,used,Honda
hybrid,sedan,2.479802443836572,36224,new,Audi
electric,sedan,4.052792439194336,55681,used,Hyundai
diesel,hatchback,4.012876309779628,90746,new,Bmw
diesel,suv,4.580573277,106376,new,Audi
diesel,sedan,2.1215050538623474,25815,new,Bmw
petrol,suv,3.966326932015825,34193,new,Audi
hybrid,coupe,2.832850847910357,68261,used,Hyundai
diesel,pickup,2.8759932919043907,88770,new,Hyundai
petrol,hatchback,4.418868101661738,32845,new,Bmw
diesel,sedan,4.4338971827790905,49112,new,Bmw
diesel,suv,3.8263923085854223,19885,new,Hyundai
petrol,coupe,3.059713756270543,20522,used,Ford
